"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2015-04-10,1392,994,256,237,19,25.75
2015-04-11,1418,970,230,221,9,23.71
2015-04-12,1580,1061,194,178,16,18.28
2015-04-13,1464,1018,248,221,27,24.36
2015-04-14,1344,953,232,219,13,24.34
2015-04-15,1409,984,242,230,12,24.59
2015-04-16,1405,960,205,192,13,21.35
2015-04-17,1276,819,209,191,18,25.52
2015-04-18,1393,949,217,197,20,22.87
2015-04-19,1502,955,204,195,9,21.36
2015-04-20,1633,1140,253,234,19,22.19
2015-04-21,1400,970,225,209,16,23.2
2015-04-22,1423,979,231,215,16,23.6
2015-04-23,1410,986,210,199,11,21.3
2015-04-24,1253,914,254,242,12,27.79
2015-04-25,1477,1050,251,234,17,23.9
2015-04-26,1390,979,224,212,12,22.88
2015-04-27,1405,1007,252,231,21,25.02
2015-04-28,1238,874,217,207,10,24.83
2015-04-29,1132,779,214,206,8,27.47
2015-04-30,1314,937,164,152,12,17.5
2015-05-01,1232,875,141,129,12,16.11
2015-05-02,1418,984,211,194,17,21.44
2015-05-03,1256,884,135,125,10,15.27
2015-05-04,1502,1087,232,217,15,21.34
2015-05-05,1247,858,171,154,17,19.93
2015-05-06,1244,867,221,208,13,25.49
2015-05-07,1398,965,240,226,14,24.87
2015-05-08,1366,936,195,181,14,20.83
2015-05-09,1579,1117,246,229,17,22.02
2015-05-10,1514,1045,190,169,21,18.18
2015-05-11,1532,1073,257,237,20,23.95
2015-05-12,1340,897,222,211,11,24.75
2015-05-13,1432,984,233,206,27,23.68
2015-05-14,1492,1014,204,194,10,20.12
2015-05-15,1429,1015,264,251,13,26.01
2015-05-16,1402,941,207,190,17,22
2015-05-17,1514,996,212,201,11,21.29
2015-05-18,1566,1117,232,221,11,20.77
2015-05-19,1136,795,198,184,14,24.91
2015-05-20,1343,1000,222,207,15,22.2
2015-05-21,1307,909,190,175,15,20.9
2015-05-22,1279,893,241,215,26,26.99
2015-05-23,1381,887,189,174,15,21.31
2015-05-24,1554,1078,213,193,20,19.76
2015-05-25,1475,977,185,166,19,18.94
